id,Brand,Type,Chipset,Screen_Dimension
115,Realmi,3,Mediatek MT6771 Helio P60 (12 nm)Mediatek Helio P70 (12nm),"6.22 inches, 96.6 cm (~81.8% screen-to-body ratio)"
116,Realmi,2 Pro,Qualcomm SDM660 Snapdragon 660 (14 nm),"6.3 inches, 97.4 cm (~84.0% screen-to-body ratio)"
117,Realmi,3 Pro,Qualcomm SDM710 Snapdragon 710 (10 nm),"6.3 inches, 97.4 cm (~83.7% screen-to-body ratio)"
118,Realmi,U1,Mediatek Helio P70 (12nm),"6.3 inches, 97.4 cm (~83.9% screen-to-body ratio)"
119,Realmi,C2 2020,Mediatek MT6762 Helio P22 (12 nm),"6.1 inches, 91.3 cm (~80.3% screen-to-body ratio)"
120,Xiaomi,Mi A2 Lite (Redmi 6 Pro),Qualcomm MSM8953 Snapdragon 625 (14 nm),"5.84 inches, 85.1 cm (~79.5% screen-to-body ratio)"
121,Xiaomi,Redmi 6 Note Pro,Qualcomm SDM636 Snapdragon 636 (14 nm),"6.26 inches, 97.8 cm (~81.1% screen-to-body ratio)"
122,Xiaomi,Redmi 7,Qualcomm SDM632 Snapdragon 632 (14 nm),"6.26 inches, 97.8 cm (~81.5% screen-to-body ratio)"
123,Xiaomi,Redmi Note 4,Qualcomm MSM8953 Snapdragon 625 (14 nm),"5.5 inches, 83.4 cm (~72.7% screen-to-body ratio)"
124,Xiaomi,Redmi Note 7,Qualcomm SDM660 Snapdragon 660 (14 nm),"6.3 inches, 97.4 cm (~81.4% screen-to-body ratio)"
125,Xiaomi,Redmi Note 5 Pro,Qualcomm SDM636 Snapdragon 636 (14 nm),"5.99 inches, 92.6 cm (~77.4% screen-to-body ratio)"
126,Xiaomi,Redmi Note 7 Pro,Qualcomm SDM675 Snapdragon 675 (11 nm),"6.3 inches, 97.4 cm (~81.4% screen-to-body ratio)"
127,Xiaomi,Redmi Y1 (Note 5A),Qualcomm MSM8940 Snapdragon 435 (28 nm),"5.5 inches, 83.4 cm (~71.5% screen-to-body ratio)"
128,Xiaomi,Redmi Note 7S,Qualcomm SDM660 Snapdragon 660 (14 nm),"6.3 inches, 97.4 cm (~81.4% screen-to-body ratio)"
129,Xiaomi,Redmi S2 (Redmi Y2),Qualcomm MSM8953 Snapdragon 625 (14 nm),"5.99 inches, 92.6 cm (~74.5% screen-to-body ratio)"
130,Vivo,V11 (V11 Pro),Qualcomm SDM660 Snapdragon 660 (14 nm),"6.41 inches, 100.9 cm (~85.2% screen-to-body ratio)"
131,Xiaomi,Redmi Y3,Qualcomm SDM632 Snapdragon 632 (14 nm),"6.26 inches, 97.8 cm (~81.5% screen-to-body ratio)"
132,Vivo,V15,Mediatek Helio P70 (12nm),"6.53 inches, 104.7 cm (~85.6% screen-to-body ratio)"
133,Vivo,V7+,Qualcomm SDM450 Snapdragon 450 (14 nm),"5.99 inches, 92.6 cm (~78.4% screen-to-body ratio)"
134,Vivo,V15 Pro,Qualcomm SDM675 Snapdragon 675 (11 nm),"6.39 inches, 98.9 cm (~84.2% screen-to-body ratio)"
135,Vivo,V9,Qualcomm MSM8953-Pro Snapdragon 626 (14 nm),"6.3 inches, 99.1 cm (~85.2% screen-to-body ratio)"
136,Vivo,Y12,Mediatek MT6762 Helio P22 (12 nm),"6.35 inches, 99.6 cm (~81.4% screen-to-body ratio)"
137,Vivo,V9 Youth,Qualcomm SDM450 Snapdragon 450 (14 nm),"6.3 inches, 99.1 cm (~85.2% screen-to-body ratio)"
138,Vivo,Y15,Mediatek MT6582 (28 nm),"4.5 inches, 55.8 cm (~64.1% screen-to-body ratio)"
139,Vivo,Y53,Qualcomm MSM8917 Snapdragon 425 (28 nm),"5.0 inches, 68.9 cm (~66.9% screen-to-body ratio)"
140,Vivo,Y17,Mediatek MT6765 Helio P35 (12nm),"6.35 inches, 99.6 cm (~81.4% screen-to-body ratio)"
141,Vivo,Y53i,Qualcomm MSM8917 Snapdragon 425 (28 nm),"5.0 inches, 68.9 cm (~66.9% screen-to-body ratio)"
142,Vivo,Y83,Mediatek MT6762 Helio P22 (12 nm),"6.22 inches, 96.6 cm (~82.7% screen-to-body ratio)"
143,Vivo,Y81,Mediatek MT6762 Helio P22 (12 nm),"6.22 inches, 96.6 cm (~83.0% screen-to-body ratio)"
144,Vivo,Y91,Qualcomm SDM439 Snapdragon 439 (12 nm),"6.22 inches, 96.6 cm (~82.9% screen-to-body ratio)"
145,ZTE,Blade V8 Mini,Qualcomm MSM8940 Snapdragon 435 (28 nm),"5.0 inches, 68.9 cm (~68.6% screen-to-body ratio)"
146,Vivo,Y91i,Mediatek MT6762 Helio P22 (12 nm),"6.22 inches, 96.6 cm (~82.9% screen-to-body ratio)"
